time_step,time_hours,net_import,net_export,thermal_total,nuclear_total,solar_total,wind_total,renewable_total,hydro_release_total,hydro_ror_total,battery_discharge_total,pumped_discharge_total,demand_total,demand_response_total,unserved_total,solar_spill_total,wind_spill_total,renewable_spill_total,overgen_spill_total,battery_soc_total,pumped_level_total
0,0.0,0.0,0.0,0.0,675.0,39.39658405535779,1080.888477860015,1120.2850619153728,589.3118243927565,1492.8833596214388,516.3970898527706,0.0,3873.2400623227204,384.36272654038163,0.0,6.994405055138486e-15,0.0,6.994405055138486e-15,0.0,3415.516974352578,1354.6190324247104
1,0.25,0.0,0.0,0.0,675.0,96.62356992082428,945.8812756842929,1042.5048456051172,491.7866225847632,1655.6977905772133,548.710624225869,0.0,3905.228558720287,396.5286757273243,0.0,-1.8984813721090177e-14,0.0,-1.8984813721090177e-14,0.0,3391.318941189171,1429.2380648494218
2,0.5,0.0,0.0,0.0,675.0,77.62240605317275,1062.8106413567332,1140.4330474099058,503.5321624842711,1550.2803098738723,624.682939853919,0.0,3775.3669792284436,186.4385196064753,0.0,3.3306690738754696e-15,0.0,3.3306690738754696e-15,0.0,3345.763223667676,1503.8570972741322
3,0.75,0.0,0.0,0.0,675.0,118.09460708714543,1189.7585264412473,1307.8531335283926,565.9691362524486,1280.729595368369,679.9718191368983,0.0,4066.621655604319,462.0979713182106,0.0,2.0650148258027912e-14,0.0,2.0650148258027912e-14,0.0,3284.66444388098,1578.4761296988427
4,1.0,0.0,0.0,0.0,675.0,155.41068387598324,1210.7691553371828,1366.179839213166,610.4515951155399,1281.7163831191672,598.5403226271617,0.0,3944.799159464594,317.9110193895596,0.0,1.3766765505351941e-14,0.0,1.3766765505351941e-14,0.0,3246.458058315575,1653.095162123553
5,1.25,0.0,0.0,0.0,675.0,150.896375737135,1259.7346782056427,1410.6310539427777,533.5911489201897,1182.9729911735465,853.2061918813431,0.0,4035.293409019412,284.89202310155474,0.0,3.3306690738754696e-15,0.0,3.3306690738754696e-15,0.0,3136.658840448759,1727.7141945482635
6,1.5,0.0,0.0,0.0,675.0,212.53624074083152,1282.7090630674559,1495.2453038082874,512.0730192238831,1341.120673533813,689.6349278982933,0.0,4149.653965780187,304.8829197799876,0.0,-8.881784197001252e-15,0.0,-8.881784197001252e-15,0.0,3064.6849689199107,1802.333226972974
7,1.75,0.0,0.0,0.0,675.0,246.13429689167108,1272.887146310261,1519.021443201932,539.3290823756424,1229.0023086110841,673.9086228891377,43.698948751084885,4145.381793588687,370.42138775980607,0.0,-3.2862601528904634e-14,0.0,-3.2862601528904634e-14,0.0,3005.290702554851,1865.2397117188661
8,2.0,0.0,0.0,0.0,675.0,262.8545681703474,1339.3150132034295,1602.169581373777,624.7781287625114,1096.1381662297454,649.4906853487879,29.68744023034799,4223.469254969211,451.20525302404167,0.0,2.398081733190338e-14,0.0,2.398081733190338e-14,0.0,2952.760918315301,1931.9016749440257
9,2.25,0.0,0.0,0.0,675.0,240.93909970657253,1376.5504323693722,1617.4895320759447,449.19862086403435,1658.844954667526,595.2360964913127,0.0,4346.156880317568,255.38767621874993,0.0,3.1530333899354446e-14,0.0,3.1530333899354446e-14,0.0,2915.483431892614,2006.520707368736
10,2.5,0.0,0.0,0.0,675.0,268.2398817627894,1233.7555301851983,1501.9954119479876,239.20668475901005,1746.4334310049974,631.8902829110044,80.0,4363.340741701825,393.814931078825,0.0,2.375877272697835e-14,0.0,2.375877272697835e-14,0.0,2867.901553172778,2059.697489096691
11,2.75,0.0,0.0,0.0,675.0,302.3062441614809,1087.5879542993605,1389.8941984608414,308.0434197968938,1492.796490974611,647.9086429300967,276.52518216159035,4327.46897272593,442.3010384018967,0.0,-5.329070518200751e-15,0.0,-5.329070518200751e-15,0.0,2815.8165199236405,2060.199993022965
12,3.0,0.0,0.0,0.0,675.0,320.6526523518915,1203.3729230980714,1524.0255754499628,256.6735440846429,1437.4571075422068,828.6772601091835,92.09309593859473,4258.597424599781,303.47081100401596,0.0,-1.7319479184152442e-14,0.0,-1.7319479184152442e-14,0.0,2712.9129873877246,2099.362354904006
13,3.25,0.0,0.0,0.0,675.0,337.1072458629399,1160.9375548211558,1498.0448006840957,45.11311353049848,1616.437133041549,769.4692920324279,320.0,4400.328583152926,301.264243864355,0.0,-1.3322676295501878e-14,0.0,-1.3322676295501878e-14,0.0,2626.6542692583894,2069.5576264355154
14,3.5,0.0,0.0,0.0,675.0,378.9137550558825,1065.7238668224747,1444.637621878357,49.35098662814252,1884.4258841590815,585.0,297.49327712111483,4488.7559717254435,358.1867641208499,0.0,2.4868995751603507e-14,0.0,2.4868995751603507e-14,0.0,2592.2544010327147,2041.2005908147614
15,3.75,0.0,0.0,0.0,675.0,356.3688471759163,1161.1814494581006,1517.5502966340168,0.0,1882.1010422121124,612.1925544890039,320.0,4421.92962927682,253.86414254689916,0.0,-1.687538997430238e-14,0.0,-1.687538997430238e-14,0.0,2550.2100376924027,2014.6087728751304
16,4.0,0.0,0.0,0.0,675.0,372.92012275355864,1122.178417801598,1495.0985405551567,2.1478498409340148,1919.783737532885,642.0792017415445,320.0,4479.150080152693,232.2344307091497,0.0,8.881784197001252e-15,0.0,8.881784197001252e-15,0.0,2499.7638035750265,1980.6518870550524
17,4.25,0.0,0.0,0.0,675.0,425.71370813715725,978.3372674930092,1404.0509756301665,51.897521127181236,1872.6857787847907,572.9903651953655,320.0,4612.581102173701,475.0384197686228,0.0,8.881784197001252e-15,0.0,8.881784197001252e-15,0.0,2468.7401387372943,1935.4760945597923
18,4.5,0.0,0.0,0.0,675.0,437.1193004665248,1022.4445667133564,1459.5638671798813,83.27872725369915,1441.80373266807,907.7766129031623,320.0,4665.06239032483,442.63945032001675,0.0,-1.5987211554602254e-14,0.0,-1.5987211554602254e-14,0.0,2343.5998348730723,1868.3618498789465
19,4.75,0.0,0.0,0.0,675.0,482.93142025385305,1276.4121839861773,1759.3436042400303,28.393206823207407,1228.0221543458085,780.0446144201557,320.0,4690.375248281371,564.5716684521682,0.0,-2.842170943040401e-14,0.0,-2.842170943040401e-14,0.0,2254.3681338133774,1801.2476051981007
20,5.0,0.0,0.0,0.0,675.0,489.81501744214466,1147.2091748133146,1637.0241922554592,0.0,1613.1414247818516,635.6519047495053,320.0,4695.495200799116,532.971994824071,0.0,3.197442310920451e-14,0.0,3.197442310920451e-14,0.0,2205.728770781828,1746.56076764104
21,5.25,0.0,0.0,0.0,675.0,503.81961326891275,1093.793340621106,1597.6129538900186,0.0,1560.5447988092665,725.1050842481311,320.0,4788.756933098572,661.5384106619302,0.0,8.881784197001252e-15,0.0,8.881784197001252e-15,0.0,2131.9419213696788,1699.510721380324
22,5.5,0.0,0.0,0.0,675.0,555.0413992655403,1024.840283645047,1579.8816829105876,0.0,1882.956320684769,504.43371246184864,320.0,4639.113320477342,380.13472199292016,0.0,-1.7763568394002505e-15,0.0,-1.7763568394002505e-15,0.0,2120.1912158675295,1641.325837267624
23,5.75,0.0,0.0,0.0,675.0,602.0327040315535,913.4047620058126,1515.4374660373662,0.0,2062.249798745811,562.5264957600889,320.0,4837.248137630208,540.2971927871614,0.0,8.881784197001252e-15,0.0,8.881784197001252e-15,0.0,2092.109201797125,1614.6137915328134
24,6.0,0.0,0.0,0.0,675.0,630.996468912392,1064.4097790686362,1695.4062479810282,109.89060639344625,1499.6534192456377,818.9275954021984,320.0,4827.480393506628,486.75989254227613,0.0,-8.881784197001252e-15,0.0,-8.881784197001252e-15,0.0,1991.946539533328,1573.886088465129
25,6.25,0.0,0.0,0.0,675.0,686.7299263368985,1059.2366371074777,1745.966563444376,58.50777018408169,1286.8208607091929,894.2786293084026,320.0,4956.262047711497,560.6882240654437,0.0,0.0,0.0,0.0,0.0,1870.600850466672,1488.1170856781055
26,6.5,0.0,0.0,0.0,675.0,745.619995273546,1115.8201615895491,1861.4401568630951,99.0264921122313,1237.1037123135407,767.9930292381116,320.0,4975.534007460755,679.9706169337765,0.0,7.283063041541027e-14,0.0,7.283063041541027e-14,0.0,1784.7571460766176,1421.0028409972597
27,6.75,0.0,0.0,0.0,675.0,805.0602067855529,1092.6681295468065,1897.7283363323593,0.0,1844.2046382569056,560.6203767083348,320.0,4917.470679396875,347.4529852241079,0.0,7.105427357601002e-15,0.0,7.105427357601002e-15,0.0,1757.2109888998687,1368.4709407748464
