time_step,time_hours,net_import,net_export,thermal_total,nuclear_total,solar_total,wind_total,hydro_release_total,hydro_ror_total,battery_discharge_total,pumped_discharge_total,demand_total,demand_response_total,unserved_total,solar_spill_total,wind_spill_total,overgen_spill_total,battery_soc_total,pumped_level_total,hydro_spill_total
0,0.0,0.0,0.0,0.0,135.0,72.12751684097762,956.8503976406507,120.81067179711332,327.06865616975074,0.0,72.09142277135487,1478.9486652198473,0.0,0.0,1.554312234475219e-14,0.0,0.0,634.5074344724437,739.828216100408,0.0
1,0.25,0.0,126.8833112410127,0.0,135.0,86.9861756031089,1029.85926744787,0.0,829.028270051229,0.0,0.0,1558.004170348559,0.0,0.0,3.3306690738754696e-15,0.0,0.0,690.6406270497237,776.9926050823894,0.0
2,0.5,0.0,119.86081720896051,0.0,135.0,104.36385055154616,851.551008632892,106.00283986225759,543.6747576802738,0.0,60.7335778195826,1521.4652173375916,0.0,0.0,1.9984014443252818e-15,0.0,0.0,690.3294635630034,797.8713962543825,0.0
3,0.75,0.0,269.16350393484555,0.0,135.0,122.15303921312487,1132.2167324803438,86.21432864710638,629.7450662263004,0.0,0.0,1519.409351511592,0.0,0.0,1.199040866595169e-14,50.79510446329121,0.0,730.6747231292437,831.9234392164341,997.3572298414551
4,1.0,0.0,143.0625555973632,0.0,135.0,97.96819994125333,966.0936718262143,0.0,708.4643682391462,22.38022863230573,0.0,1622.6171187495424,0.0,0.0,-1.199040866595169e-14,0.0,0.0,744.6316119284268,850.415004378644,0.0
5,1.25,0.0,255.53922960834203,0.0,135.0,123.39466345799981,864.5700065958425,0.0,469.3765729912547,188.88417636169243,80.0,1548.6991010652225,0.0,0.0,-2.55351295663786e-14,0.0,0.0,694.917796362772,842.0944378129946,0.0
6,1.5,0.0,542.5890281483474,0.0,135.0,120.00222284454856,1019.8248613370223,220.0,779.8843862704167,8.297010536648287,0.0,1518.7209889479986,0.0,0.0,31.23419192350968,56.48077735837043,0.0,726.3126463819353,860.5840077973721,0.0
7,1.75,0.0,321.7277525765364,0.0,135.0,159.47136147820953,911.1201909587395,0.0,608.7586691324996,139.06177578172924,0.0,1551.6842447746415,0.0,0.0,28.018060037951248,67.96952763291858,0.0,689.6317157219626,879.0699508045349,0.0
8,2.0,0.0,221.8060685023139,0.0,135.0,195.60018081030762,726.5545351353793,108.67448087555859,540.9060839124949,182.1547420556429,0.0,1587.0839542870694,0.0,0.0,15.937117357815822,106.33118893401773,0.0,641.7018967367908,897.5522675459631,997.3572298414549
9,2.25,0.0,302.025266009109,0.0,135.0,198.9610372800369,950.9224990354993,0.0,524.9748197804232,171.2179363572934,42.45347842266254,1641.5045048668064,0.0,0.0,3.241851231905457e-14,0.0,0.0,596.6527850069568,904.652232141897,0.0
10,2.5,0.0,327.0799707492832,0.0,135.0,186.15201097022728,844.4364634558035,0.0,935.516794103853,0.0,0.0,1640.8015083573316,0.0,0.0,42.51996118400949,294.79643743962794,0.0,609.1085928196851,923.1295305756205,0.0
11,2.75,0.0,229.76942186256878,0.0,135.0,208.79337052959494,949.331979707253,0.0,587.3689419213308,49.558574172528424,0.0,1620.2834444681384,0.0,0.0,47.11732333744818,62.77090986953311,0.0,595.8785014375553,941.6032044393585,0.0
12,3.0,0.0,374.20106196237333,0.0,135.0,280.97915265828624,1186.3658255323317,2.0178723454994554,573.4576309793191,1.3131777778138058,0.0,1724.932597330877,0.0,0.0,8.7154880675948,23.631200612486822,0.0,595.2667398869515,960.0732544441191,0.0
13,3.25,0.0,300.18535851165274,0.0,135.0,205.86491546794818,1041.501059261493,0.0,651.4483377791172,30.038074058539863,0.0,1683.6670280554456,0.0,0.0,43.2464768504065,173.67012472072582,0.0,587.1459572946094,978.5396813007708,0.0
14,3.5,0.0,346.9843944102476,0.0,135.0,250.34485741417438,1060.733157867172,22.04800891159023,765.4166616162656,0.0,0.0,1689.011778478815,0.0,0.0,51.0720185134288,74.3178681351095,0.0,614.9841826337231,997.0024857200428,0.0
15,3.75,0.0,324.2726284612962,0.0,135.0,218.065425715851,832.9086250693518,0.0,899.1054132657744,5.50138582063299,0.0,1686.308221410314,0.0,0.0,80.67445747324855,269.3458989000828,0.0,613.2689268021553,1015.4616684125248,0.0
16,4.0,0.0,303.75842898228495,0.0,135.0,246.13616313343553,952.6049991318271,16.36350270799319,504.95761909847863,179.48270234728002,38.41577332844625,1689.2023307651757,0.0,0.0,33.01578584326864,62.09900180689574,0.0,566.0720403670792,1023.6207220584383,0.0
17,4.25,0.0,320.7612548180331,0.0,135.0,217.1495399575575,790.1547403124925,0.0,859.0733980761681,12.284175351954836,69.13159922162482,1682.0321981017648,0.0,0.0,103.2048811684249,272.93705253359474,0.0,562.6056566380006,1023.5454697070215,0.0
18,4.5,0.0,261.5307834739804,0.0,135.0,297.35490228559615,923.6750651148002,29.741929391244213,628.1288220300039,0.0,69.13159922162482,1733.9014588522182,0.0,0.0,40.2055114793874,78.56881366168128,0.0,564.169187717418,1023.470232117363,0.0
19,4.75,0.0,337.44459185352105,0.0,135.0,339.58987496821635,750.022131940045,0.0,695.8038430209037,93.49889409934241,69.13159922162482,1665.6017513966112,0.0,0.0,46.43267821132028,187.98718182414646,0.0,539.4724126069758,1023.3950092865673,0.0
20,5.0,0.0,284.9218617036995,0.0,135.0,300.8165568623979,767.142257658903,7.554488331918407,730.56708044292,75.41443465801368,69.13159922162482,1720.7045554720783,0.0,0.0,144.29661793599269,137.72352023704505,0.0,519.5144254320012,1023.3198012117389,0.0
21,5.25,0.0,505.9868435721405,0.0,135.0,439.5536365275272,809.5802421952959,239.30909279292462,560.8230056732089,66.40112060996006,69.13159922162482,1733.8118534484008,0.0,0.0,76.86686169193455,152.60629842274318,0.0,501.92170150901586,1023.2446078899835,0.0
22,5.5,0.0,307.83865496399625,0.0,135.0,475.6386417094632,788.0040879827333,11.437932340118792,720.5088651129147,0.0,69.13159922162482,1704.2110362787348,0.0,0.0,53.363187805880216,171.60965997621,0.0,527.4374123322092,1023.169429318407,0.0
23,5.75,0.0,340.02753660025695,0.0,135.0,395.5880907780721,785.6908666853648,0.0,906.4132898623432,0.0,69.13159922162482,1710.7256423834474,0.0,0.0,166.04574885178323,303.2706222591421,0.0,565.7081974611444,1023.0942654941159,0.0
24,6.0,0.0,261.24987105684596,0.0,135.0,500.4832068265646,701.1007364943849,0.0,853.0392766690323,0.0,69.13159922162482,1808.6194936926581,0.0,0.0,92.84179122666428,138.94253751408047,0.0,591.4854147626936,1023.0191164142173,0.0
25,6.25,0.0,316.29099626669154,0.0,135.0,577.7718573611824,671.420285410031,0.0,597.9264101533956,111.90741673575785,69.13159922162482,1766.8665726153001,0.0,0.0,61.73136411611303,30.465333913298906,0.0,561.9639545531375,1022.943982075819,0.0
26,6.5,0.0,357.4181371611364,0.0,135.0,589.1510736599695,590.2128641687577,0.0,896.8504302147666,0.0,69.13159922162482,1771.3816888418366,0.0,0.0,126.14659462144704,31.967047867228615,0.0,578.8158584872529,1022.8688624760292,0.0
27,6.75,0.0,322.16188864017647,0.0,135.0,610.0879338270173,539.6990284471683,0.0,831.0762779174281,0.0,69.13159922162482,1714.7535086045343,0.0,0.0,105.78559511225234,63.189773139367375,0.0,594.8313591672601,1022.7937576119567,0.0
28,7.0,0.0,229.80847462009433,0.0,135.0,621.276722468828,372.9790367022096,0.0,954.4666724530291,0.0,69.13159922162482,1700.0820373407491,0.0,0.0,182.93087489964694,73.76840374131598,0.0,628.742763399643,1022.718667480711,0.0
29,7.25,0.0,521.3989127261617,0.0,135.0,719.763226412227,630.0343859223296,220.0,664.0845974569156,0.0,69.13159922162482,1721.5707434587025,0.0,0.0,113.45926003848817,12.890749021475203,0.0,655.9639888684741,1022.6435920794019,0.0
30,7.5,0.0,315.9320619799786,0.0,135.0,800.8936992112986,527.5529578441915,58.884555951004856,594.6353754146733,0.0,69.13159922162482,1729.3542317075294,0.0,0.0,85.4757916681088,39.388039091289514,0.0,670.2072216448903,1022.56853140514,0.0
31,7.75,0.0,303.29545308270485,0.0,135.0,774.6764971886452,589.0366652063775,0.0,720.5881403789418,0.0,69.13159922162482,1728.7461705646133,0.0,0.0,112.18176411006692,38.19886434859857,0.0,712.0765004954845,1022.4934854550364,0.0
32,8.0,0.0,424.75834776094166,0.0,135.0,735.1892912511547,660.1413978856193,0.0,851.3600301567546,0.0,69.13159922162482,1721.0639707542118,0.0,0.0,229.22824150661205,66.32514026248596,0.0,765.5481809513635,1022.4184542262028,0.0
33,8.25,0.0,395.28194744504754,0.0,135.0,675.6455330497303,606.8981791083485,0.0,918.4152668480706,0.0,69.13159922162482,1704.8086307827268,0.0,0.0,410.65835643202166,197.67149131548456,0.0,818.995770101461,1022.3434377157514,997.3572298414547
34,8.5,0.0,298.9485290870477,0.0,135.0,992.5597867383445,561.1359946151738,0.0,483.5356571806022,0.0,69.13159922162482,1725.080022333134,0.0,0.0,94.75339475531506,23.69190148696738,0.0,851.4604019308235,1022.2684359207949,0.0
35,8.75,0.0,518.7608814405044,0.0,135.0,892.6832282216545,426.5319370563072,220.0,736.794167518166,0.0,69.13159922162482,1678.6779423323437,0.0,0.0,260.51854764108987,147.03390025697863,0.0,899.5383533264262,1022.1934488384467,0.0
36,9.0,0.0,382.1040877648575,0.0,135.0,896.2816547051535,438.7601510623545,0.0,842.461081791455,0.0,69.13159922162482,1699.5839495300095,0.0,0.0,293.7506771971298,72.89589228554094,0.0,951.7173824403493,1022.1184764658208,0.0
37,9.25,0.0,311.3162947473187,0.0,135.0,978.1036135903398,357.8975451900293,0.0,678.7793204164452,0.0,69.13159922162482,1657.0302148401615,0.0,0.0,229.0366505441747,50.50900889596909,0.0,992.067031052273,1022.0435188000316,0.0
38,9.5,0.0,409.13040776412345,0.0,135.0,1052.6715524297242,481.90614273740505,0.0,578.8130933005269,0.0,69.13159922162482,1690.0227342378025,0.0,0.0,217.4765972509431,74.31267258371184,0.0,1024.7010747640525,1021.9685758381943,0.0
39,9.75,0.0,371.51801029419306,0.0,135.0,1099.1713721851488,297.7589675144462,0.0,629.0445259086683,0.0,69.13159922162482,1626.1430306392135,0.0,0.0,205.38404291786188,78.20831031184677,0.0,1060.685716941197,1021.8936475774244,0.0
40,10.0,0.0,353.317765322538,0.0,135.0,814.4788198256781,245.4577492686475,0.0,984.797291069908,0.0,69.13159922162482,1590.5476940633205,0.0,0.0,519.4824366493757,66.86119765194088,0.0,1114.0003338606382,1021.8187340148381,0.0
41,10.25,0.0,355.34106802457376,0.0,135.0,816.3836050371643,291.18188911058616,0.0,781.5680309759047,0.0,69.13159922162482,1611.4239565318771,0.0,0.0,628.7014545161994,154.564045162548,0.0,1124.6155693888181,1021.7438351475521,0.0
42,10.5,0.0,387.4552724991748,0.0,135.0,1133.1294741819288,247.4487054626933,0.0,483.73564070119244,0.0,69.13159922162482,1599.808190630819,0.0,0.0,302.0903717282957,46.7987859199153,0.0,1124.3914609399324,1021.6689509726839,0.0
43,10.75,0.0,361.99106839017924,0.0,135.0,668.3281411530638,246.5030106777001,0.0,905.6638825227632,0.0,69.13159922162482,1581.453608747527,0.0,0.0,774.8186378431138,262.11416423522365,0.0,1124.1674534616,1021.5940814873512,0.0
44,11.0,0.0,370.0679798920415,0.0,135.0,567.4002319204782,196.3007488146221,0.0,1020.0,0.0,71.10890243415581,1538.5599468397688,0.0,0.0,870.3213057409768,125.90784882320476,0.0,1123.9435469083292,1020.9892537988402,0.0
45,11.25,0.0,420.4960097706609,0.0,135.0,820.193782679083,455.64152873380385,0.0,585.2187967351595,0.0,80.0,1574.3761419399398,0.0,0.0,634.0543888045181,138.46593798055756,0.0,1123.7197412346495,1018.001480468193,0.0
46,11.5,0.0,395.28291936362564,0.0,135.0,612.1486712807628,365.12215189907465,0.0,822.3552653262781,0.0,80.0,1538.1612127050441,0.0,0.0,838.334393939611,98.83794128888204,0.0,1123.4960363951097,1015.0142932293697,0.0
47,11.75,0.0,335.7211215933537,0.0,135.0,738.1477865137649,211.95970570489115,0.0,769.5840116074785,0.0,80.0,1517.7884257953351,0.0,0.0,696.6045444418144,353.07160022189555,0.0,1123.27243234428,1012.0276919674004,0.0
